UK ID,UK Sanction Programme,UK Name,EU Name Match,EU ID,Multi Score,Label
7036,Afghanistan,"{'Mohammad', 'Atiqullah', 'Wali'}","{'Mohammad', 'Wali', 'Atiqullah'}",548,99,match
7055,Afghanistan,"{'Abdul', 'Azizirahman', 'Ahad'}","{'Abdul', 'Azizirahman', 'Ahad'}",552,98,match
7059,ISIL (Da'esh) and Al-Qaida,"{'Bahaji', 'Al', 'Zouheir', 'Maghribi', 'Abderrahmane', 'Abbattay', 'Said', 'Mohamed'}","{'Bahaji', 'Al', 'Maghribi', 'Zouheir', 'Abderrahmane', 'Abbattay', 'Said', 'Mohamed'}",965,98,match
7060,Afghanistan,"{'Turk', 'Ahmad', 'Akhund', 'Baradar', 'Ghani', 'Abdul'}","{'Turk', 'Ahmad', 'Akhund', 'Ghani', 'Baradar', 'Mullah', 'Abdul'}",555,98,match
7082,ISIL (Da'esh) and Al-Qaida,"{'Bashiruddin', 'Mahmood', 'Mekmud', 'Sultan', 'Din', 'Baishiruddin', 'Bashir', 'Dr', 'Ud', 'Uddin', 'Mehmood'}","{'Bashiruddin', 'Mekmud', 'Mahmood', 'Sultan', 'Din', 'Baishiruddin', 'Bashir', 'Ud', 'Uddin', 'Mehmood'}",640,97,match
7087,ISIL (Da'esh) and Al-Qaida,"{'Ben', 'Obeida', 'Abda', 'As', 'Belgacem', 'Hani', 'Abu', 'Al', 'Lased', 'Heni', 'Awani', 'Aouani', 'Lakhal', 'Ad', 'Mohamed'}","{'Ben', 'Obeida', 'Abda', 'As', 'Belgacem', 'Hani', 'Abu', 'Al', 'Lased', 'Heni', 'Awani', 'Aouani', 'Lakhal', 'Ad', 'Mohamed'}",928,95,match
7091,ISIL (Da'esh) and Al-Qaida,"{'Ben', 'Sami', 'Omar', 'Elsseid', 'Saber', 'Khamis', 'El', 'Saleh', 'Mouhajer'}","{'Ben', 'Sami', 'Mouhajer', 'Elsseid', 'Saber', 'Khamis', 'El', 'Saleh', 'Omar'}",932,96,match
7092,ISIL (Da'esh) and Al-Qaida,"{'Ben', 'Zakariya', 'Soltane', 'Youssef', 'Azhar', 'Hamdi', 'Al', 'Adel'}","{'Ben', 'Zakariya', 'Soltane', 'Youssef', 'Azhar', 'Al', 'Hamdi', 'Adel'}",937,96,match
7098,ISIL (Da'esh) and Al-Qaida,"{'Ubaydah', 'Al', 'Binalshib', 'Ba', 'Umar', 'Shibh', 'Bin', 'Bawazir', 'Ramzi', 'Abu', 'Ramsi', 'Binalsheidah', 'Hassan', 'Mohamed', 'Binalshibh', 'Abdullah', 'Abdellah', 'Abdallah', 'Ali', 'Mohammed', 'Amar', 'Alassiri', 'Muhammad', 'Omar'}","{'Ubaydah', 'Al', 'Binalshib', 'Ba', 'Umar', 'Shibh', 'Bin', 'Bawazir', 'Ramzi', 'Abu', 'Ramsi', 'Binalsheidah', 'Hassan', 'Mohamed', 'Binalshibh', 'Abdullah', 'Abdellah', 'Abdallah', 'Ali', 'Alassiri', 'Amar', 'Mohammed', 'Muhammad', 'Omar'}",966,97,match
7099,ISIL (Da'esh) and Al-Qaida,"{'Bin', 'Marwan', 'Bilal'}","{'Bin', 'Tremie', 'Marwan', 'Bilal'}",557,96,match
7119,Afghanistan,"{'Delawar', 'Shahabuddin'}","{'Delawar', 'Shahabuddin'}",561,85,preliminary match
7123,Afghanistan,"{'Ehsanullah', 'Akhundzada', 'Sarfida', 'Hesamuddin', 'Sarfadi'}","{'Sarfida', 'Akhundzada', 'Ehsanullah', 'Hesamuddin', 'Sarfadi'}",580,100,match
7124,ISIL (Da'esh) and Al-Qaida,"{'Motassadeq', 'Mounir', 'Moutassadeq', 'El'}","{'Motassadeq', 'Mounir', 'Moutassadeq', 'El'}",967,97,match
7127,Afghanistan,"{'Elmi', 'Mohammad', 'Azam', 'Azami', 'Muhammad'}","{'Elmi', 'Mohammad', 'Azam', 'Azami', 'Muhammad'}",581,98,match
7128,ISIL (Da'esh) and Al-Qaida,"{'Es', 'Abdel', 'Sayed', 'Kader', 'Khader', 'Mahmoud', 'El', 'Mohamed', 'Abd'}","{'Es', 'Abdel', 'Sayed', 'Kader', 'Khader', 'Mahmoud', 'El', 'Mohamed', 'Abd'}",931,96,match
7130,Afghanistan,"{'Akhunzada', 'Eshaq', 'Ishaq', 'Akhund', 'Mohammad'}","{'Akhunzada', 'Eshaq', 'Akhund', 'Ishaq', 'Mohammad'}",582,99,match
7131,ISIL (Da'esh) and Al-Qaida,"{'Zakarya', 'Essabar', 'Zakariya'}","{'Zakariya', 'Essabar', 'Zakarya'}",968,85,preliminary match
7132,Afghanistan,"{'Ezatullah', 'Haqqani', 'Khan', 'Sayyid'}","{'Ezatullah', 'Haqqani', 'Khan', 'Sayyid'}",583,99,match
7134,Afghanistan,{'Faiz'},{'Faiz'},585,50,not match
7146,Counter-Terrorism (International),"{'Sa', 'Samir', 'Ahmed', 'Din', 'Hasan', 'Al', 'Id', 'Garbaya', 'Hassan', 'Salwwan', 'Izz'}","{'Sa', 'Samir', 'Ahmed', 'Din', 'Hasan', 'Al', 'Id', 'Garbaya', 'Salwwan', 'Izz'}",189,94,match
7153,Afghanistan,"{'Hakimi', 'Ahmad', 'Gul'}","{'Hakimi', 'Ahmad', 'Gul'}",590,96,match
7156,ISIL (Da'esh) and Al-Qaida,"{'Isamuddin', 'Isamudin', 'Encep', 'Nurjaman', 'Ending', 'Riduan', 'Hambali', 'Bin', 'Isomuddin', 'Ridwan'}","{'Isamuddin', 'Isamudin', 'Encep', 'Ending', 'Nurjaman', 'Hambali', 'Riduan', 'Bin', 'Isomuddin', 'Ridwan', 'Birth', 'Name'}",1003,98,match
7157,Afghanistan,"{'Hamdullah', 'Allah', 'Noor'}","{'Hamdullah', 'Allah', 'Noor'}",591,98,match
7159,Afghanistan,"{'Gul', 'Janat', 'Akhund', 'Mohammad', 'Hamidullah', 'Sher'}","{'Gul', 'Janat', 'Akhund', 'Mohammad', 'Hamidullah', 'Sher'}",593,97,match
7160,Afghanistan,"{'Pahlawan', 'Shamsuddin'}","{'Pahlawan', 'Shamsuddin'}",594,85,preliminary match
7162,Afghanistan,"{'Qul', 'Mardan', 'Hanifi', 'Salam', 'Ali', 'Abdussalam', 'Abdul', 'Hanafi', 'Saheb'}","{'Qul', 'Mardan', 'Hanifi', 'Salam', 'Ali', 'Abdussalam', 'Abdul', 'Hanafi', 'Saheb'}",595,96,match
7164,Afghanistan,"{'Mohammad', 'Din', 'Hanif'}","{'Din', 'Qari', 'Iadena', 'Mohammad', 'Hanif'}",596,96,match
7165,Afghanistan,"{'Jalaluddin', 'Jallalouddin', 'Jallalouddine', 'Haqqani', 'Haqani'}","{'Jalaluddin', 'Jallalouddin', 'Jallalouddine', 'Haqqani', 'Haqani'}",597,85,preliminary match
7167,Afghanistan,"{'Mohammad', 'Haqqani', 'Mohammed', 'Sayyed'}","{'Mohammad', 'Haqqani', 'Mohammed', 'Sayyed'}",599,100,match
7168,Afghanistan,"{'Salim', 'Haqqani', 'Mohammad'}","{'Salim', 'Haqqani', 'Mohammad'}",600,99,match
7169,Afghanistan,"{'Gul', 'Muhammadi', 'Mohammad', 'Haqqani', 'Moslim'}","{'Gul', 'Muhammadi', 'Mohammad', 'Haqqani', 'Moslim'}",601,98,match
7170,Afghanistan,"{'Hidayatullah', 'Haqqani', 'Haqani', 'Najibullah'}","{'Hidayatullah', 'Haqqani', 'Haqani', 'Najibullah'}",602,100,match
7172,Afghanistan,"{'Mohammad', 'Akhund', 'Hassan'}","{'Mohammad', 'Hassan', 'Akhund'}",603,100,match
7187,Afghanistan,"{'Ahmad', 'Sahib', 'Rahman', 'Hottak', 'Abdul'}","{'Ahmad', 'Sahib', 'Rahman', 'Hottak', 'Abdul'}",607,98,match
7209,Afghanistan,"{'Jamal', 'Qudratullah', 'Sahib'}","{'Jamal', 'Qudratullah', 'Haji', 'Sahib'}",618,98,match
7213,Afghanistan,"{'Abdullah', 'Jan', 'Janan', 'Agha'}","{'Janan', 'Jan', 'Abdullah', 'Agha'}",620,96,match
7219,Afghanistan,"{'Rehmatullah', 'Rahmatullah', 'Kakazada', 'Nasir'}","{'Rehmatullah', 'Kakazada', 'Rahmatullah', 'Mullah', 'Nasir'}",625,99,match
7220,ISIL (Da'esh) and Al-Qaida,"{'Ben', 'Mohamed', 'Kammoun', 'Mehdi', 'Salmane'}","{'Ben', 'Mohamed', 'Kammoun', 'Mehdi', 'Salmane'}",941,97,match
7223,Afghanistan,"{'Khairullah', 'Wali', 'Khirullah', 'Khairkhwa', 'Said', 'Khairkhwah'}","{'Khairullah', 'Wali', 'Mullah', 'Khirullah', 'Khairkhwa', 'Said', 'Khairkhwah'}",626,98,match
7255,ISIL (Da'esh) and Al-Qaida,"{'Maaroufi', 'Ben', 'Ismail', 'Abu', 'Al', 'Djoundoubi', 'Tarek', 'Habib', 'Abou', 'Jendoubi', 'El', 'Toumi'}","{'Maaroufi', 'Ben', 'Ismail', 'Abu', 'Al', 'Djoundoubi', 'Tarek', 'Habib', 'Abou', 'Jendoubi', 'El', 'Toumi'}",943,95,match
7257,Afghanistan,"{'Mohammad', 'Jan', 'Ikram', 'Madani'}","{'Mohammad', 'Jan', 'Ikram', 'Madani'}",630,97,match
7258,Afghanistan,"{'Zaia', 'Ziaurrahman', 'Diya', 'Al', 'Madani', 'Zia', 'Rahman', 'Ur', 'U', 'Saheb'}","{'Ziaurrahman', 'Zaia', 'Diya', 'Al', 'Madani', 'Zia', 'Rahman', 'Ur', 'U', 'Saheb'}",631,96,match
7269,Afghanistan,"{'Muhammad', 'Khan', 'Mohammad', 'Mansoor', 'Mohammed', 'Akhtar', 'Mansour', 'Shah'}","{'Muhammad', 'Khan', 'Mohammad', 'Akhtar', 'Mansoor', 'Mohammed', 'Imam', 'Mansour', 'Shah', 'Naib'}",644,98,match
7270,Afghanistan,"{'Latif', 'Mohammad', 'Wali', 'Mansoor', 'Mansur', 'Abdul'}","{'Latif', 'Mohammad', 'Wali', 'Mansoor', 'Mansur', 'Abdul'}",647,98,match
7277,Afghanistan,"{'Nanai', 'Mohammadullah', 'Mati'}","{'Nanai', 'Mohammadullah', 'Mati', 'Mawlawi'}",648,98,match
7278,Afghanistan,{'Matiullah'},{'Matiullah'},649,50,not match
7281,Afghanistan,"{'Molah', 'Fazel', 'Fazl', 'Mohammad', 'Mazloom'}","{'Molah', 'Fazel', 'Fazl', 'Mohammad', 'Mazloom'}",650,98,match
7296,Afghanistan,"{'Hari', 'Abdul', 'Mohammad', 'Akhtar', 'Maz', 'Quddus', 'Mazhari'}","{'Hari', 'Mohammad', 'Mazhari', 'Akhtar', 'Maz', 'Quddus', 'Abdul'}",651,98,match
7297,Afghanistan,"{'Mohammad', 'Dost', 'Doost'}","{'Mohammad', 'Dost', 'Doost'}",652,85,preliminary match
7298,Afghanistan,"{'Mohammad', 'Nazar', 'Basir', 'Abdul', 'Nazir'}","{'Mohammad', 'Nazar', 'Basir', 'Abdul', 'Nazir'}",653,97,match
7299,Afghanistan,"{'Nik', 'Dost', 'Mohammad'}","{'Nik', 'Mohammad', 'Dost'}",654,96,match
7303,Afghanistan,"{'Mohammad', 'Shafiq', 'Mohammadi'}","{'Shafiq', 'Mohammad', 'Mohammadi'}",656,85,preliminary match
7307,Afghanistan,"{'Amir', 'Khan', 'Muttaqi', 'Motaqi'}","{'Muttaqi', 'Amir', 'Khan', 'Motaqi'}",659,98,match
7309,Afghanistan,"{'Abdul', 'Abdulhai', 'Motmaen', 'Haq'}","{'Abdul', 'Haq', 'Motmaen', 'Abdulhai'}",661,96,match
7329,Afghanistan,"{'Abdullah', 'Hamad', 'Al', 'Mohammad', 'Hammad', 'Karim'}","{'Abdullah', 'Hamad', 'Al', 'Mohammad', 'Hammad', 'Karim'}",669,97,match
7354,Afghanistan,"{'Ghul', 'Gul', 'Naim', 'Mohammad', 'Mullah', 'Bareh', 'Kamran', 'Akhund', 'Khudaidad', 'Naeem', 'Berich', 'Barech', 'Barich', 'Spen', 'Baric', 'Zrae', 'Naimullah', 'Mohammed', 'Baraich'}","{'Sahib', 'Bari', 'Akhund', 'Zakir', 'Mullah', 'Abdul', 'Haji'}",556,77,preliminary match
7356,Afghanistan,"{'Juma', 'Najibullah', 'Ullah', 'Muhammad', 'Najib'}","{'Juma', 'Najibullah', 'Ullah', 'Muhammad', 'Najib'}",690,98,match
7374,Afghanistan,"{'Hamdullah', 'Nomani'}","{'Hamidullah', 'Hamdullah', 'Nomani'}",693,85,preliminary match
7375,Afghanistan,"{'Mohammad', 'Noorani', 'Aleem'}","{'Mohammad', 'Noorani', 'Aleem'}",696,99,match
7378,Afghanistan,"{'Noori', 'Nuri', 'Norullah', 'Nurullah'}","{'Noori', 'Nurullah', 'Nuri', 'Norullah'}",698,98,match
7379,Afghanistan,"{'Habibullah', 'Sahib', 'Rostam', 'Nuristani', 'Rustum', 'Hanafi'}","{'Habibullah', 'Sahib', 'Rostam', 'Nuristani', 'Rustum', 'Hanafi'}",699,99,match
